"yearmonth";"client_type";"tariff_type";"system_zone";"segment";"tot_procured_volume";"tot_delivery_volume";"tot_hedged_volume";"tot_open_volume";"tot_generation_volume";"tot_revenues";"tot_hedged_cost";"tot_open_cost";"tot_generation_cost";"tot_balancing_cost";"tot_uplift_cost";"tot_OPEX_cost";"tot_total_cost";"tot_margin";"hpfc";"unit_revenues";"unit_hedged";"unit_open_cost";"unit_generation_cost";"unit_balancing_cost";"unit_uplift_cost";"unit_OPEX_cost";"unit_total_cost";"unit_margin_cost";"voltage";"supply"
"2022-09";"contracted";"fixed";1;"non_strategical";7200;7200;0;7200;0;1440000;0;829202182583006;0;140232961362458;822682831223597;0;925493761841613;514506238158388;115166969803195;200;0;115166969803195;0;194768001892303;114261504336611;0;12854080025578;714591997442205;"HV";"EDS"
"2022-09";"contracted";"uplift_indexed";1;"non_strategical";2340427;2340427;2340427;0;0;315553350301002;272729046299995;0;0;455840290364803;267420709810024;0;304029520184645;11523830116357;115166969803195;134827256009695;116529610323242;0;0;194768001892305;114261504336612;0;129903440775826;492381523386843;"HV";"EDS"
"2022-09";"expected";"fixed";1;"strategical";39693315;39693315;0;0;39693315;3929638185;0;0;3929638185;773098765103188;4535417884007;0;446048984991102;-530851664911019;115166969803195;989999999999999;0;0;989999999999999;194768001892305;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
"2022-10";"contracted";"fixed";1;"non_strategical";7450;7450;0;7450;0;1490000;0;863786204907334;0;145102161409766;851248207307749;0;963421241779086;526578758220913;115944457034541;200;0;115944457034541;0;194768001892303;114261504336611;0;129318287487126;706817125128743;"HV";"EDS"
"2022-10";"contracted";"uplift_indexed";1;"non_strategical";2341724;2341724;2341724;0;0;315457744418115;272612180359995;0;0;456092904463257;267568906981148;0;303930000102742;115277443153726;115944457034541;134711752716424;116415162657937;0;0;194768001892306;114261504336612;0;129788993110521;492275960590258;"HV";"EDS"
"2022-10";"expected";"fixed";1;"strategical";40671086;40671086;0;0;40671086;4026437514;0;0;4026437514;792142615501011;464713946936372;0;457036572248648;-543928208486473;115944457034541;99;0;0;99;194768001892305;114261504336612;0;112373830452584;-133738304525843;"HV";"EDS"
"2022-11";"contracted";"fixed";1;"non_strategical";7200;7200;0;7200;0;1440000;0;838243553798093;0;140232961362458;822682831223597;0;934535133056699;505464866943301;116422715805291;200;0;116422715805291;0;194768001892303;114261504336611;0;129796546257875;702034537421251;"HV";"EDS"
"2022-11";"contracted";"uplift_indexed";1;"non_strategical";18508038;18508038;18508038;0;0;248065773533992;214213883887995;0;0;360477358020687;211475626419917;0;238966220110195;909955342379767;11642271580529;134031372495557;115741000687375;0;0;194768001892306;114261504336612;0;129114831139959;491654135559787;"HV";"EDS"
"2022-11";"expected";"fixed";1;"strategical";39008694;39008694;0;0;39008694;3861860706;0;0;3861860706;759764538680836;445719205864656;0;438355636573274;-521695659732741;116422715805291;990000000000001;0;0;990000000000001;194768001892305;114261504336612;0;112373830452584;-133738304525843;"HV";"EDS"
"2022-12";"contracted";"fixed";1;"non_strategical";7440;7440;0;7440;0;1488000;0;865855169697242;0;144907393407874;850105592264383;0;965356468264468;522643531735533;116378383023823;200;0;116378383023823;0;194768001892303;114261504336611;0;129752213476407;702477865235931;"HV";"EDS"
"2022-12";"contracted";"uplift_indexed";1;"non_strategical";15484908;15484908;15484908;0;0;20695837010794;178641271377996;0;0;301596459064618;176932888259404;0;199350524794582;760784531335782;116378383023823;133651662707935;115364761210073;0;0;194768001892306;114261504336612;0;128738591662658;4913071045277;"HV";"EDS"
"2022-12";"expected";"fixed";1;"strategical";37517379;37517379;0;0;37517379;3714220521;0;0;3714220521;730718494406635;428679216330681;0;421597158677134;-501751065771345;116378383023823;989999999999998;0;0;989999999999998;194768001892306;114261504336612;0;112373830452584;-133738304525842;"HV";"EDS"
