yearmonth;client_type;tariff_type;system_zone;segment;tot_procured_volume;tot_delivery_volume;tot_hedged_volume;tot_open_volume;tot_generation_volume;tot_revenues;tot_hedged_cost;tot_open_cost;tot_generation_cost;tot_balancing_cost;tot_uplift_cost;tot_OPEX_cost;tot_total_cost;tot_margin;hpfc;unit_revenues;unit_hedged;unit_open_cost;unit_generation_cost;unit_balancing_cost;unit_uplift_cost;unit_OPEX_cost;unit_total_cost;unit_margin_cost;voltage;supply
2022-11;contracted;MCP_indexed;1;SME_OLD-1-contracted-MCP_indexed;429985,99218433897477;379076,075274919974618;0;429985,99218433897477;0;67402150,5352341979742;0;50565158,1588563024998;0;837475,12539424595889;4913084,6310653099790;0;56315717,915316201746;11086432,6199181992561;116,4227158052920;156,7542937685710;0;117,5972219513110;0;1,94768001892306;11,4261504336612;0;130,9710524038960;25,7832413646751988;LV;PPC
2022-11;contracted;MCP_indexed;3;Agr-3-contracted-MCP_indexed;7080,36315180228030;6242,055145730650111;0;7080,36315180228030;0;818458,2484242860228;0;835047,5215033319546;0;13790,28183748439915;80901,2944974444981;0;929739,097838261048;-111280,8494139749964;116,4227158052910;115,5955183197000;0;117,9385158077340;0;1,94768001892306;11,4261504336612;0;131,3123462603180;-15,7168279406189004;LV;PPC
2022-11;contracted;MCP_indexed;3;PL-3-contracted-MCP_indexed;3943,16722517874996;3476,300119173719850;0;3943,16722517874996;0;575843,0145649630576;0;452343,6683454429731;0;7680,02801575290960;45055,2218999746983;0;505078,918261171028;70764,0963037955953;116,4227158052910;146,0356565372040;0;114,7158217021690;0;1,94768001892305;11,4261504336612;0;128,0896521547530;17,9460043824511004;LV;PPC
2022-11;contracted;MCP_indexed;3;Residential_OLD-3-contracted-MCP_indexed;51769,26840294209978;45639,838140652900620;0;51769,26840294209978;0;7927799,5770748797804;0;6089884,8556038197130;0;100829,96966267499374;591523,4486126010306;0;6782238,273879059590;1145561,3031957799103;116,4227158052900;153,1371761982320;0;117,6351345783690;0;1,94768001892305;11,4261504336612;0;131,0089650309530;22,1282111672777013;LV;PPC
2022-11;contracted;MCP_indexed;3;SME_OLD-3-contracted-MCP_indexed;41750,08382460010034;36806,915123512299033;0;41750,08382460010034;0;6533233,2820873800665;0;4912235,5265861097723;0;81315,80405353590322;477042,7383978450089;0;5470594,069037480280;1062639,2130499000195;116,4227158052920;156,4843153258020;0;117,6580997351610;0;1,94768001892304;11,4261504336612;0;131,0319301877440;25,4523851380571990;LV;PPC
2022-11;contracted;fixed;0;Residential_NEW-0-contracted-fixed;5349,64548543790988;4716,252742165130257;0;5349,64548543790988;0;507880,9071726619732;0;629329,6820702999830;0;10419,39762030930069;61125,8540833700972;0;700874,933773976052;-192994,0266013130022;116,4227158052900;94,9373016502025;0;117,6395115869600;0;1,94768001892305;11,4261504336612;0;131,0133420395430;-36,0760403893409034;LV;PPC
2022-11;contracted;fixed;1;Residential_NEW-1-contracted-fixed;97122,80027469070046;85623,556620550603839;0;97122,80027469070046;0;9150514,3577779103070;0;11421963,9328307993710;0;189164,13747686898569;1109739,7264770399779;0;12720867,796784700826;-3570353,4390068501234;116,4227158052900;94,2159238808774;0;117,6033217795030;0;1,94768001892305;11,4261504336611;0;130,9771522320870;-36,7612283512098017;LV;PPC
2022-11;contracted;fixed;3;Residential_NEW-3-contracted-fixed;5899,84038306233015;5201,305107169469920;0;5899,84038306233015;0;563987,0127368790563;0;694055,2577975729946;0;11491,00122892579930;67412,4637514594069;0;772958,722777956980;-208971,7100410799903;116,4227158052900;95,5936052704090;0;117,6396669628750;0;1,94768001892305;11,4261504336612;0;131,0134974154590;-35,4198921450501985;LV;PPC
2022-11;expected;MCP_indexed;0;Agr-0-expected-MCP_indexed;-15,75850347522430;-13,892712223595399;0;-15,75850347522430;0;-1821,6123771613400;0;-1852,7153125268701;0;-30,69252234682380;-180,0590313172850;0;-2063,466866190980;241,8544890296460;116,4227158052910;115,5955183197000;0;117,5692422468760;0;1,94768001892306;11,4261504336612;0;130,9430726994600;-15,3475543797603002;LV;PPC
2022-11;expected;MCP_indexed;0;PL-0-expected-MCP_indexed;-47,91717131580040;-42,243825545094097;0;-47,91717131580040;0;-6997,6155725085900;0;-5496,9281949792003;0;-93,32731713509691;-547,5088078098490;0;-6137,764319924150;-859,8512525844460;116,4227158052910;146,0356565372040;0;114,7172932799280;0;1,94768001892305;11,4261504336612;0;128,0911237325120;17,9445328046924004;LV;PPC
